User_ID,Food_ID,Rating
1.0,88.0,4.0
1.0,46.0,3.0
1.0,24.0,5.0
1.0,25.0,4.0
2.0,49.0,1.0
2.0,33.0,8.0
2.0,106.0,9.0
2.0,71.0,8.0
3.0,73.0,9.0
3.0,110.0,10.0
3.0,168.0,1.0
3.0,201.0,8.0
3.0,209.0,6.0
3.0,46.0,2.0
3.0,65.0,3.0
3.0,292.0,8.0
3.0,299.0,1.0
4.0,14.0,5.0
4.0,141.0,5.0
4.0,170.0,1.0
4.0,212.0,10.0
4.0,128.0,6.0
4.0,21.0,1.0
5.0,52.0,9.0
5.0,64.0,2.0
5.0,198.0,10.0
5.0,241.0,9.0
5.0,27.0,6.0
6.0,22.0,5.0
6.0,185.0,7.0
6.0,207.0,2.0
6.0,213.0,6.0
7.0,131.0,5.0
7.0,109.0,10.0
7.0,116.0,8.0
7.0,220.0,3.0
7.0,21.0,9.0
7.0,31.0,10.0
8.0,101.0,8.0
8.0,138.0,9.0
8.0,140.0,4.0
8.0,201.0,3.0
8.0,242.0,3.0
8.0,224.0,9.0
8.0,128.0,4.0
8.0,163.0,5.0
9.0,15.0,1.0
9.0,60.0,5.0
9.0,91.0,5.0
9.0,2.0,3.0
9.0,180.0,2.0
9.0,182.0,4.0
9.0,184.0,6.0
9.0,244.0,3.0
10.0,70.0,5.0
10.0,44.0,10.0
10.0,227.0,2.0
10.0,100.0,4.0
10.0,250.0,2.0
11.0,35.0,4.0
11.0,154.0,3.0
11.0,258.0,10.0
11.0,200.0,10.0
11.0,274.0,2.0
11.0,48.0,5.0
12.0,38.0,4.0
12.0,169.0,4.0
13.0,74.0,8.0
13.0,127.0,10.0
14.0,17.0,3.0
14.0,51.0,9.0
14.0,87.0,8.0
14.0,134.0,7.0
14.0,267.0,5.0
14.0,272.0,1.0
15.0,116.0,6.0
15.0,130.0,5.0
15.0,149.0,1.0
15.0,43.0,3.0
15.0,214.0,7.0
15.0,238.0,6.0
15.0,29.0,9.0
16.0,243.0,3.0
16.0,10.0,4.0
16.0,270.0,3.0
16.0,282.0,10.0
16.0,291.0,1.0
17.0,23.0,4.0
17.0,58.0,7.0
17.0,114.0,1.0
17.0,8.0,5.0
17.0,251.0,5.0
17.0,278.0,8.0
17.0,7.0,4.0
18.0,18.0,5.0
18.0,133.0,8.0
18.0,153.0,7.0
18.0,37.0,2.0
18.0,31.0,7.0
18.0,17.0,6.0
19.0,9.0,9.0
19.0,11.0,4.0
19.0,211.0,1.0
19.0,249.0,10.0
19.0,84.0,10.0
20.0,46.0,6.0
20.0,261.0,8.0
21.0,13.0,9.0
21.0,42.0,9.0
21.0,126.0,1.0
21.0,230.0,3.0
21.0,185.0,2.0
21.0,280.0,5.0
22.0,165.0,2.0
22.0,2.0,5.0
22.0,127.0,6.0
22.0,53.0,3.0
22.0,275.0,4.0
23.0,26.0,6.0
23.0,223.0,5.0
24.0,23.0,2.0
24.0,193.0,8.0
24.0,51.0,5.0
25.0,55.0,5.0
25.0,63.0,9.0
25.0,57.0,10.0
25.0,178.0,3.0
25.0,287.0,3.0
26.0,15.0,9.0
26.0,104.0,6.0
26.0,55.0,5.0
26.0,45.0,5.0
27.0,161.0,2.0
27.0,213.0,3.0
27.0,273.0,10.0
27.0,207.0,4.0
27.0,86.0,4.0
27.0,54.0,1.0
27.0,279.0,9.0
28.0,54.0,7.0
28.0,162.0,9.0
28.0,50.0,10.0
28.0,5.0,10.0
29.0,34.0,5.0
29.0,200.0,9.0
29.0,281.0,1.0
29.0,300.0,9.0
30.0,53.0,6.0
30.0,304.0,1.0
31.0,80.0,1.0
31.0,129.0,5.0
31.0,150.0,9.0
31.0,188.0,10.0
31.0,74.0,5.0
31.0,232.0,8.0
31.0,240.0,3.0
31.0,230.0,8.0
31.0,264.0,6.0
31.0,285.0,9.0
32.0,32.0,4.0
32.0,39.0,7.0
32.0,71.0,1.0
32.0,94.0,10.0
32.0,127.0,9.0
32.0,91.0,2.0
32.0,244.0,8.0
32.0,263.0,1.0
32.0,143.0,1.0
32.0,290.0,7.0
32.0,309.0,5.0
33.0,166.0,4.0
33.0,248.0,10.0
34.0,163.0,6.0
34.0,65.0,4.0
34.0,12.0,2.0
35.0,28.0,5.0
35.0,147.0,3.0
35.0,68.0,3.0
35.0,15.0,1.0
36.0,25.0,8.0
36.0,45.0,6.0
36.0,96.0,7.0
36.0,155.0,10.0
36.0,212.0,3.0
36.0,16.0,7.0
36.0,23.0,1.0
36.0,184.0,10.0
36.0,19.0,5.0
37.0,98.0,6.0
37.0,191.0,1.0
37.0,218.0,7.0
37.0,283.0,3.0
38.0,42.0,7.0
38.0,160.0,2.0
38.0,130.0,3.0
38.0,243.0,4.0
38.0,186.0,8.0
39.0,2.0,10.0
39.0,28.0,2.0
39.0,30.0,6.0
39.0,86.0,4.0
39.0,175.0,5.0
39.0,195.0,4.0
39.0,256.0,5.0
39.0,50.0,7.0
39.0,5.0,10.0
40.0,111.0,2.0
41.0,4.0,6.0
41.0,100.0,3.0
41.0,51.0,3.0
41.0,259.0,2.0
42.0,84.0,2.0
42.0,196.0,9.0
42.0,284.0,4.0
42.0,294.0,4.0
42.0,296.0,10.0
43.0,34.0,8.0
43.0,6.0,10.0
43.0,72.0,5.0
43.0,85.0,10.0
43.0,174.0,6.0
43.0,213.0,8.0
43.0,32.0,6.0
43.0,11.0,4.0
44,245.0,10.0
44,295.0,10.0
45.0,47.0,2.0
45.0,57.0,3.0
45.0,10.0,6.0
45.0,108.0,3.0
45.0,181.0,3.0
45.0,208.0,5.0
45.0,236.0,2.0
46.0,102.0,6.0
46.0,59.0,3.0
46.0,136.0,10.0
46.0,236.0,4.0
46.0,68.0,4.0
46.0,184.0,7.0
47.0,19.0,1.0
47.0,62.0,8.0
47.0,225.0,3.0
47.0,199.0,2.0
47.0,49.0,10.0
48.0,7.0,5.0
48.0,58.0,1.0
48.0,119.0,8.0
48.0,172.0,8.0
48.0,85.0,3.0
48.0,9.0,3.0
49.0,1.0,5.0
49.0,21.0,3.0
49.0,77.0,10.0
49.0,139.0,10.0
49.0,171.0,8.0
49.0,205.0,3.0
49.0,44.0,3.0
49.0,276.0,10.0
49.0,6.0,6.0
50.0,19.0,9.0
50.0,81.0,8.0
50.0,95.0,2.0
50.0,57.0,7.0
50.0,158.0,6.0
50.0,167.0,2.0
50.0,225.0,3.0
51.0,136.0,6.0
51.0,151.0,10.0
51.0,53.0,4.0
52.0,44.0,10.0
52.0,187.0,8.0
52.0,69.0,6.0
52.0,254.0,2.0
52.0,268.0,3.0
52.0,211.0,1.0
53.0,128.0,2.0
53.0,189.0,7.0
53.0,190.0,10.0
53.0,226.0,8.0
53.0,22.0,3.0
54.0,65.0,7.0
54.0,109.0,10.0
54.0,113.0,6.0
54.0,146.0,4.0
54.0,25.0,3.0
54.0,204.0,2.0
54.0,100.0,1.0
54.0,259.0,9.0
54.0,255.0,1.0
54.0,301.0,1.0
55.0,52.0,5.0
55.0,90.0,2.0
55.0,121.0,3.0
55.0,117.0,7.0
55.0,163.0,2.0
55.0,13.0,1.0
55.0,288.0,3.0
56.0,289.0,9.0
56.0,298.0,4.0
56.0,305.0,9.0
57.0,33.0,3.0
57.0,78.0,8.0
57.0,75.0,7.0
57.0,164.0,6.0
57.0,67.0,1.0
57.0,271.0,1.0
58.0,137.0,1.0
58.0,84.0,10.0
59.0,43.0,3.0
59.0,99.0,9.0
59.0,145.0,3.0
59.0,171.0,10.0
59.0,239.0,10.0
59.0,270.0,5.0
60.0,107.0,1.0
60.0,221.0,7.0
60.0,144.0,2.0
61.0,177.0,6.0
61.0,45.0,3.0
61.0,22.0,3.0
62.0,58.0,4.0
62.0,59.0,8.0
62.0,9.0,7.0
62.0,74.0,7.0
62.0,108.0,4.0
62.0,118.0,7.0
62.0,124.0,7.0
62.0,157.0,2.0
62.0,183.0,1.0
62.0,265.0,4.0
62.0,215.0,10.0
63.0,17.0,6.0
63.0,61.0,10.0
63.0,136.0,9.0
63.0,186.0,8.0
63.0,7.0,9.0
63.0,269.0,3.0
64.0,18.0,5.0
64.0,23.0,2.0
64.0,303.0,6.0
65.0,48.0,7.0
65.0,165.0,5.0
66.0,92.0,7.0
66.0,192.0,7.0
67.0,146.0,7.0
67.0,156.0,2.0
67.0,203.0,10.0
67.0,16.0,9.0
67.0,252.0,4.0
67.0,47.0,4.0
68.0,22.0,10.0
68.0,76.0,4.0
68.0,47.0,5.0
68.0,142.0,6.0
68.0,179.0,5.0
68.0,186.0,10.0
68.0,199.0,8.0
68.0,219.0,9.0
69.0,46.0,9.0
69.0,126.0,4.0
69.0,23.0,10.0
69.0,25.0,10.0
70.0,7.0,8.0
70.0,16.0,2.0
70.0,68.0,4.0
70.0,83.0,9.0
70.0,122.0,3.0
70.0,262.0,5.0
70.0,18.0,7.0
70.0,56.0,5.0
70.0,277.0,7.0
71.0,50.0,4.0
71.0,1.0,10.0
71.0,137.0,1.0
71.0,206.0,5.0
71.0,7.0,8.0
71.0,53.0,3.0
71.0,307.0,1.0
72.0,221.0,6.0
72.0,222.0,1.0
73.0,56.0,1.0
73.0,135.0,7.0
73.0,234.0,2.0
73.0,5.0,7.0
74.0,56.0,3.0
74.0,132.0,6.0
74.0,44.0,6.0
75.0,37.0,2.0
75.0,12.0,3.0
76.0,115.0,5.0
76.0,23.0,1.0
76.0,216.0,5.0
77.0,3.0,1.0
77.0,20.0,4.0
77.0,6.0,6.0
77.0,123.0,10.0
77.0,204.0,9.0
77.0,228.0,4.0
77.0,163.0,2.0
78.0,32.0,10.0
78.0,246.0,9.0
78.0,21.0,4.0
78.0,302.0,5.0
79.0,36.0,6.0
79.0,173.0,3.0
79.0,163.0,4.0
79.0,15.0,8.0
80.0,66.0,5.0
80.0,103.0,9.0
80.0,112.0,4.0
80.0,56.0,7.0
80.0,21.0,10.0
80.0,257.0,5.0
80.0,49.0,9.0
80.0,306.0,8.0
81.0,197.0,5.0
81.0,63.0,3.0
81.0,65.0,3.0
81.0,286.0,6.0
82.0,8.0,10.0
82.0,12.0,4.0
82.0,16.0,4.0
82.0,27.0,4.0
82.0,229.0,5.0
82.0,235.0,7.0
82.0,257.0,2.0
82.0,87.0,7.0
83.0,41.0,5.0
83.0,79.0,1.0
84.0,18.0,10.0
84.0,253.0,8.0
85.0,47.0,9.0
85.0,202.0,3.0
85.0,238.0,7.0
86.0,24.0,1.0
86.0,159.0,2.0
86.0,224.0,5.0
86.0,237.0,4.0
86.0,31.0,6.0
86.0,260.0,7.0
87.0,29.0,1.0
87.0,200.0,2.0
87.0,137.0,4.0
88.0,5.0,3.0
88.0,10.0,6.0
88.0,210.0,2.0
88.0,48.0,9.0
89.0,120.0,6.0
89.0,143.0,4.0
89.0,148.0,7.0
89.0,163.0,5.0
89.0,3.0,7.0
90.0,4.0,6.0
90.0,75.0,6.0
90.0,126.0,10.0
91.0,176.0,5.0
91.0,163.0,1.0
91.0,231.0,5.0
91.0,247.0,5.0
92.0,6.0,1.0
92.0,53.0,5.0
92.0,105.0,9.0
92.0,62.0,6.0
92.0,64.0,3.0
93.0,18.0,9.0
93.0,125.0,10.0
93.0,130.0,5.0
93.0,266.0,10.0
94.0,117.0,4.0
94.0,5.0,2.0
94.0,48.0,3.0
94.0,243.0,5.0
94.0,255.0,8.0
95.0,67.0,1.0
95.0,228.0,3.0
95.0,28.0,10.0
95.0,297.0,5.0
96.0,89.0,8.0
96.0,97.0,7.0
96.0,222.0,6.0
96.0,51.0,10.0
96.0,271.0,7.0
96.0,293.0,5.0
97.0,20.0,1.0
97.0,31.0,3.0
97.0,46.0,7.0
97.0,144.0,6.0
97.0,64.0,4.0
97.0,215.0,9.0
97.0,308.0,3.0
98.0,35.0,4.0
98.0,40.0,10.0
98.0,5.0,7.0
98.0,82.0,2.0
98.0,47.0,2.0
98.0,194.0,2.0
98.0,217.0,3.0
99.0,49.0,3.0
99.0,69.0,8.0
99.0,93.0,7.0
99.0,152.0,2.0
99.0,65.0,7.0
99.0,22.0,1.0
100.0,24.0,10.0
100.0,233.0,10.0
100.0,29.0,7.0
,,
4.0,120.0,9.0
4.0,110.0,10.0
4.0,154.0,10.0
4.0,92.0,2.0
4.0,156.0,3.0
4.0,267.0,3.0
4.0,203.0,4.0
95.0,120.0,9.0
95.0,154.0,10.0
95.0,92.0,1.0
95.0,156.0,2.0
95.0,85.0,6.0
95.0,267.0,2.0
95.0,203.0,2.0
36.0,120.0,10.0
36.0,110.0,10.0
36.0,154.0,9.0
36.0,92.0,2.0
36.0,156.0,3.0
36.0,85.0,7.0
36.0,267.0,2.0
36.0,203.0,6.0
32.0,120.0,10.0
32.0,110.0,9.0
32.0,154.0,10.0
32.0,92.0,3.0
32.0,156.0,1.0
32.0,85.0,6.0
32.0,267.0,10.0
32.0,203.0,5.0
18.0,189.0,10.0
18.0,294.0,10.0
18.0,225.0,10.0
18.0,53.0,3.0
18.0,96.0,2.0
18.0,110.0,7.0
18.0,148.0,2.0
95.0,189.0,10.0
95.0,294.0,10.0
95.0,225.0,10.0
95.0,53.0,3.0
95.0,96.0,9.0
95.0,110.0,5.0
95.0,148.0,10.0
14.0,189.0,9.0
14.0,294.0,10.0
14.0,225.0,10.0
14.0,53.0,2.0
14.0,96.0,6.0
14.0,110.0,10.0
14.0,148.0,4.0
87.0,189.0,9.0
87.0,294.0,9.0
87.0,225.0,10.0
87.0,53.0,2.0
87.0,96.0,2.0
87.0,110.0,1.0
87.0,148.0,4.0
76.0,55.0,6.0
76.0,233.0,8.0
76.0,35.0,6.0
76.0,192.0,7.0
76.0,85.0,2.0
76.0,297.0,1.0
76.0,73.0,2.0
76.0,8.0,7.0
55.0,55.0,7.0
55.0,233.0,8.0
55.0,35.0,6.0
55.0,192.0,8.0
55.0,85.0,1.0
55.0,297.0,1.0
55.0,73.0,8.0
55.0,8.0,6.0
55.0,151.0,3.0
5.0,55.0,8.0
5.0,233.0,6.0
5.0,35.0,6.0
5.0,192.0,7.0
5.0,85.0,1.0
5.0,297.0,1.0
5.0,73.0,6.0
5.0,8.0,6.0
5.0,151.0,4.0
4.0,55.0,8.0
4.0,233.0,7.0
4.0,35.0,6.0
4.0,192.0,7.0
4.0,85.0,2.0
4.0,297.0,1.0
4.0,73.0,5.0
4.0,8.0,2.0
4.0,151.0,10.0
28.0,253.0,9.0
28.0,49.0,8.0
28.0,163.0,7.0
28.0,243.0,8.0
28.0,94.0,7.0
28.0,204.0,3.0
28.0,122.0,4.0
28.0,198.0,2.0
28.0,217.0,4.0
28.0,306.0,4.0
28.0,85.0,3.0
28.0,277.0,8.0
30.0,253.0,9.0
30.0,49.0,7.0
30.0,163.0,7.0
30.0,243.0,9.0
30.0,94.0,9.0
30.0,204.0,4.0
30.0,122.0,4.0
30.0,198.0,2.0
30.0,217.0,2.0
30.0,306.0,7.0
30.0,85.0,5.0
30.0,277.0,9.0
65.0,253.0,9.0
65.0,49.0,8.0
65.0,163.0,8.0
65.0,243.0,7.0
65.0,94.0,9.0
65.0,204.0,4.0
65.0,122.0,2.0
65.0,198.0,3.0
65.0,217.0,3.0
65.0,306.0,4.0
